table_id,pmid,table_index,original_label_id,table_label,table_caption,table_url
38598310_tbl1,38598310,0,75588688914,table1,"Ratio Between the Rate Constant for the Encapsulated System, [e], and the Free System, [f]",
39742998_tbl1,39742998,0,585258263593,table1,Topological parameters ascertained from the Quantum chemical analysis of Mn- interacting pairs,
39795995_tbl1,39795995,0,160013660396,table1,The productivity of the fusion proteins in Expi293 cells.,
39744096_tbl1,39744096,0,189583451973,table1,Benchmark datasets for protein learning tasks.,
39744090_tbl1,39744090,0,651566110065,table1,Thermodynamic and kinetic parameters of wild‐type(WT)and 13M4.,
39744088_tbl1,39744088,0,286087831368,table1,Comparison of GRAPE with other commonly used algorithms for predicting protein stability.,
39695007_tbl1,39695007,0,49882834244,table1,Primers relevant in the study,
39695007_tbl2,39695007,1,362510769624,table2,Enzymatic properties of Amp0279 and its mutants,
39670334_tbl1,39670334,0,184751253458,table1,Biochemical Characteristics of the Purified Variants Expressed by P. pastoris,
39319912_tbl1,39319912,0,110073934036,table1,Demographic data and clinical features of the study participants,
39319912_tbl2,39319912,1,530486097815,table2,Correlation between fundoscopy findings and patient outcome,
39319912_tbl3,39319912,2,13455306965,table3,Histopathological findings of the enucleated eyes,
39319912_tbl4,39319912,3,180285525466,table4,Characteristics of the patients who died during the follow-up,
39756372_tbl1,39756372,0,849367622968,table1,Baseline characteristics of patients,
39756372_tbl2,39756372,1,133997830125,table2,Patients’ treatment data,
39756372_tbl3,39756372,2,652142514540,table3,Prognostic factors associated with patient characteristics,
41169943_tbl1,41169943,0,993537622791,table1,Tubiechong Gel plaster formulations of TDL in different concentrations.,
41169943_tbl2,41169943,1,380664845211,table2,Curve fitting equation of Tubiechong gel plaster with different azone dosage.,
41169943_tbl3,41169943,2,840015817689,table3,Stability study of the Tubiechong gel plaster.,
41103331_tbl1,41103331,0,908453214673,table1,Final Discrete Choice Experiment Attributes and Their Levels That Reached Consensus,
41103331_tbl2,41103331,1,268109436964,table2,Extracted Attributes from the Literature and Their Citations,
41103331_tbl3,41103331,2,942463303308,table3,Original 5-Point Likert Scale Personally Administered Questionnaire Used in the Delphi Rounds,
41103331_tbl4,41103331,3,526179629875,table4,Results of the Delphi Phases a,
41103331_tbl5,41103331,4,420272731134,table5,An Example of a Random Choice Task,
41103331_tbl6,41103331,5,933459105247,table6,Final Discrete Choice Experiment Questionnaire’s Face and Content Validation Results(Ratings of the Items by 12 Experts: Items Rated 3 or 4 on a 4‑Point Relevance Scale),
39390833_tbl1,39390833,0,832333848411,table1,HCC metastasis without primary known tumor.,
38570403_tbl1,38570403,0,709751698594,table1,Overall retention rates immediately post intervention,
38570403_tbl2,38570403,1,439695153913,table2,Reasons for non-retention during intervention,
38570403_tbl3,38570403,2,865835920048,table3,Retention strategies,
39816803_tbl1,39816803,0,779108855706,table1,In Vitro Kinase Inhibition of ALK5 and p38α and TGFβ Reporter Activity,
39816803_tbl2,39816803,1,151654013846,table2,Pharmacokinetics of HYL001 in Preclinical Species after Oral Administration a,
41000584_tbl1,41000584,0,595047638993,table1,Demographics and Clinical Characteristics,
41001603_tbl1,41001603,0,131144278750,table1,Patient Demographics(n=5)*,
41001603_tbl2,41001603,1,682769122072,table2,Research Staff and Clinician Demographics(n=12)*,
41001603_tbl3,41001603,2,95414969558,table3,Patient and Research Staff Perspectives *,
41001603_tbl4,41001603,3,277366549389,table4,Patient and Clinician and Research Staff Responses to the Adapted Telehealth Usability Questionnaire Survey *,
39602041_tbl1,39602041,0,207675255939,table1,"The pharmacokinetic and physicochemical(ADME)properties of R-PFI-2, cyproheptadine, and nine compounds predicted by QikProp",https://cdn.ncbi.nlm.nih.gov/pmc/blobs/3d46/12454513/fff93026daca/11030_2024_11038_Tab1_HTML.jpg
39602893_tbl1,39602893,0,33432269995,table1,"Sections and standardized content of the Onkopti ® protocols, see also Figure 1",
39602893_tbl2,39602893,1,825803715330,table2,"Average time required to prepare one protocol, comparison of the different methods",
39602893_tbl3,39602893,2,963943037366,table3,Possible advantages using digitized Onkopti ® treatment protocols,
39602041_tbl1,39602041,0,858886220338,table1,"The pharmacokinetic and physicochemical(ADME)properties of R-PFI-2, cyproheptadine, and nine compounds predicted by QikProp",https://cdn.ncbi.nlm.nih.gov/pmc/blobs/3d46/12454513/fff93026daca/11030_2024_11038_Tab1_HTML.jpg
40420790_tbl1,40420790,0,794844317450,table1,"Characteristics of the obtained compounds 3, 5-6, 8, 11-12, and 10a-k.",
40420790_tbl2,40420790,1,244370214705,table2,The binding affinity of studied ligands with phosphoinositide 3-kinases gamma estimated by molecular docking calculations.,
40420790_tbl3,40420790,2,853026608777,table3,The binding affinity of studied ligands towards αβ-tubulin heterodimer(PDB 5M7E)was estimated by molecular docking calculations.,
38437501_tbl1,38437501,0,344935518924,table1,Description of Each Machine Learning Algorithm and the Parameters Employed in Virtual Screening,
38437501_tbl2,38437501,1,609555316117,table2,"Method, Cross-Validation MCC(CV MCC), External Validation MCC(EXT MCC), Cross-Validation AUC(CV AUC), External Validation AUC(EXT AUC), Cross-Validation F1-Score(CV F1), and External Validation F1-Score(CV F1)for the Selected Models for Each Subset",
38437501_tbl3,38437501,2,728281368743,table3,Hits in Virtual Screening Selected for the In Vitro Assays,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/d0e4/12212627/9c392512201f/ci4c00087_0005.jpg
38437501_tbl4,38437501,3,309013636578,table4,"Minimum Inhibitory Concentration(MIC), Percentage of Inhibition, Cytotoxic Concentration of 50%(CC 50), and Selectivity Indexes(SI)of the Compounds Selected by the ML Models against MSSA, MRSA Strains, and E. coli",
39740163_tbl1,39740163,0,207915893276,table1,Selected Compounds and Their Inhibitory Activity,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/84c9/11733953/0858d6325608/ci4c02011_0009.jpg
39850657_tbl1,39850657,0,211327058236,table1,"Distribution of training, testing, and validation datasets.",
39850657_tbl2,39850657,1,780985283293,table2,"Pairwise sequence identity between training, testing, and validation datasets.",
39811675_tbl1,39811675,0,524217098555,table1,Top 20 peptide sequences after virtual screening.,
39811675_tbl2,39811675,1,395680807405,table2,ADMET prediction results for peptides.,
39811675_tbl3,39811675,2,244018345040,table3,Abalone active peptides and 1HWK interaction force analysis.,
39795157_tbl1,39795157,0,685998266402,table1,The ten hit compounds selected from the structure-based virtual screening either with their Glide or GOLD docking score and calculated binding free energies.,
39795157_tbl2,39795157,1,448690630141,table2,ADMET properties of the hits from structure-based and ligand-based virtual screening.,
39796080_tbl1,39796080,0,807858896272,table1,Summary of Datasets used in this work.,
39796080_tbl2,39796080,1,159424519397,table2,Performance Metrics of Up/Down-Regulated Gene Expression Ranking Prediction in a Single Cell Line.,
39796080_tbl3,39796080,2,924981490764,table3,Performance Metrics of Up/Down-Regulated Gene Expression Ranking Prediction in Multiple Cell Lines.,
39796080_tbl4,39796080,3,761432294670,table4,Performance Metrics of QSAR Models for PARP1.,
39737570_tbl1,39737570,0,432360296629,table1,Evaluation of the performance of six machine learning models and the ensemble approach for LBVS on the ChEMBL internal validation dataset with random splitting,
39737570_tbl2,39737570,1,38991857094,table2,Evaluation of the performance of six machine learning models and the ensemble approach for LBVS on the Lane et al. external validation dataset,
39737570_tbl3,39737570,2,710348616944,table3,The 15 top-ranked bioactive anti-Mtb candidates screened from the DrugBank database,
39737570_tbl4,39737570,3,504951338172,table4,The 15 selected anti-Mtb candidates and their MICs against Mtb reference strain H37Rv,
39737570_tbl5,39737570,4,921874414025,table5,"MICs of aldoxorubicin, quarfloxin, batefenterol, and elexacaftor against MDR-TB isolates",
39737570_tbl6,39737570,5,370239849537,table6,Molecular docking results of aldoxorubicin(DrugBank ID: DB06013)to Mtb DNA gyrase(PDB ID: 7UGW),
39737570_tbl7,39737570,6,87164952647,table7,Molecular docking results of quarfloxin(DrugBank ID: DB06638)to Mtb DNA gyrase(PDB ID: 7UGW),
40074429_tbl1,40074429,0,85047262046,table1,Predicted binding affinities(kcal/mol)and information pertinent to the top 30 compounds.,
40074429_tbl2,40074429,1,408032635890,table2,Intermolecular contacts between the VP28 trimer and bound ligands.,
40074429_tbl3,40074429,2,274492235449,table3,The analysis of drug-likeness and pharmacokinetic properties for the top four compounds identified via the SwissADME server.,
40074429_tbl4,40074429,3,322413819092,table4,The evaluation of the toxicity profiles induced by the four potential hit molecules.,
39744090_tbl1,39744090,0,966265622462,table1,Thermodynamic and kinetic parameters of wild‐type(WT)and 13M4.,
39707350_tbl1,39707350,0,225132439203,table1,Screened databases on Pharmit webserver,
39707350_tbl2,39707350,1,142513591401,table2,ADME properties of top 16 compounds,
39696768_tbl1,39696768,0,346799250067,table1,Comparison of the Properties of Molecules Generated via the Four Methods a,
39696768_tbl2,39696768,1,766717361657,table2,Fractions of Donor and Acceptor Atoms,
39700339_tbl1,39700339,0,646980319385,table1,Structures and Inhibitory Activities(Percentages of Inhibition at 10 or 1 μM)of the Compounds Selected as Potential h15-LOX-2 Inhibitors Using the VS Protocol Proposed in this Study,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/6969/11726667/008e3a04878f/jm4c01884_0009.jpg
39696643_tbl1,39696643,0,499686532160,table1,RMSD values(in Å)between top-scoring redocked poses of ligands and the conformations in co-crystal structures,
39696643_tbl2,39696643,1,605860780356,table2,Correlation of scores with kinetic data pIC 50(pKi)for 73 known inhibitors,
39696643_tbl3,39696643,2,730985116251,table3,Correlation of molecular properties with kinetic data pIC 50(pKi)for 73 known inhibitors,
39771585_tbl1,39771585,0,874026844404,table1,"Structure, NP class, Coconut ID, XP score, and MM-GBSA of the top 10 hits.",
39771585_tbl2,39771585,1,916019838911,table2,Binding residues and binding interactions of top 10 hits with GLP-1 allosteric site.,
39771585_tbl3,39771585,2,910210147451,table3,Key binding residues and binding interactions of initial XP and SP hits with GLP-1 allosteric site.,
39771585_tbl4,39771585,3,824236218471,table4,ADMET profiling of the best 10 hits.,
39771585_tbl5,39771585,4,72576566831,table5,"Physicochemical properties, drug-likeness, and medicinal chemistry prediction of the best 10 hits.",
39689077_tbl1,39689077,0,186907494561,table1,Molecular docking and non-bonding interaction analysis of the top four hit compounds along with reference drug galantamine.,https://pmc.ncbi.nlm.nih.gov/articles/PMC11651584/bin/pone.0311401.t001.jpg
39689077_tbl2,39689077,1,828498839594,table2,H–bonds formed by the ligand molecule with the targeted proteins.,https://pmc.ncbi.nlm.nih.gov/articles/PMC11651584/bin/pone.0311401.t002.jpg
39689077_tbl3,39689077,2,641970887220,table3,"Binding free energy results of(A)curcumene,(B)galantamine,(C)sterol and(D)viridifloral.",https://pmc.ncbi.nlm.nih.gov/articles/PMC11651584/bin/pone.0311401.t003.jpg
39689077_tbl4,39689077,3,522637454423,table4,Lipinski’s rule of five parameters for the hit compounds.,https://pmc.ncbi.nlm.nih.gov/articles/PMC11651584/bin/pone.0311401.t004.jpg
39689077_tbl5,39689077,4,167870106577,table5,ADMET properties of hit compounds with comparison to the reference drug.,https://pmc.ncbi.nlm.nih.gov/articles/PMC11651584/bin/pone.0311401.t005.jpg
